"Sec Short Name","Board","Session Name","Last","Last Time","Bid Depth","Bid Price","Total Value","Offer Price","Total Volume","Offer Depth","Issued Qty","Security","Ref Price","Change Price","High Limit","Low Limit","Daily Value","Daily Volume","Number of Trades","MM Rule Tag","Contract Size","High","Low","Unadj Prev Price","Previous Date","Inherited State","Open","Open Qty","Close","Change Percent","Avg Price","52 Week High Price","52 Week Low Price","TOP","Orders","Last Auction Price","Has News","Change LTP","Sec Name","ISIN","Quote Basis","Security Board State","Previous Close","Market Cap","CB Ref Price","Change Ref Price","Change CB Ref Price","Change Percent Ref Price","Close Bid Price","Close Bid Depth","Close Offer Price","NMS","Close Offer Depth","CB High Limit","CB Low Limit","Ref Price Div Adj","52 Week High Date","52 Week Low Date","Accrued Interest","Adjustment Factor","Avg Yield","Bid Yield","Board Name","CB Ref Yield","Change CB Ref Yield","Change Ref Yield","Change Yield","Close Bid Yield","Close Offer Yield","Closing Yield","Coupon Rate","Currency Id","Expiry Price","High Yield","Instrument","Is Tradeable","Issue Date","Issuer Id","Last Qty","Last Yield","Low Yield","Market Maker Quotation Status","Maturity Date","Max Qty","Min Qty","Next Coupon Date","Number of Bids","Number of Offers","Off Mkt Last","Off Mkt Last Qty","Off Mkt Value Today","Off Mkt Volume Today","Offer Yield","Open Yield","Option Strike","Option Verb","Previous Yield","Qty Multiplier","Ref Price Date Time","Ref Yield","Sector","Security Remarks","Settlement Date","Settlement Price","Settlement Price Type","TOV","Underlying Security"
"EFFECT","BUY-IN","Enquiry","","","","","","","","","82451146","2007","1100","","1320.0","1100.0","","","","0","1","","","23.0","","A","","","","","","","","","","","","","EFFECT REAL ESTATE CO.","KW0EQ0402499","","A","23.0","1896376.358","23.0","","","","","","","","","","","23.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","AUCTION_MKT","True","","IS2007T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8600","","1/27/2019","","","",""
"AJWAN","BUY-IN","Enquiry","","","","","","","","","209999922","2008","27.5","","33.0","27.5","","","","0","1","","","27.2","4/3/2018","A","","","","","","27.2","27.2","","","","","","AJWAN GULF REAL ESTATE CO.","KW0EQ0402531","","A","27.2","5711997.878","27.2","","","","","","","","","","","27.2","4/3/2018","4/3/2018","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS2008T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8600","","1/27/2019","","","",""
"KINV","BUY-IN","Enquiry","","","","","","","","","547988419","201","146","","175.0","146.0","","","","0","1","","","139","","A","","","","","","","","","","","","","KUWAIT INVESTMENT COMPANY","KW0EQ0200216","","A","139","76170390.241","139","","","","","","","","","","","139","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS201T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"SPEC","BUY-IN","Enquiry","","","","","","","","","143026507","2010","61.6","","73.9","61.6","","","","0","1","","","56.0","","A","","","","","","","","","","","","","SPECIALITIES GROUP HOLDING CO.","KW0EQ0502553","","A","56.0","8009484.392","56.0","","","","","","","","","","","56.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS2010T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","2000","","1/27/2019","","","",""
"MASAKEN","BUY-IN","Enquiry","","","","","","","","","98337015","2011","77.0","","92.4","77.0","","","","0","1","","","70.0","","A","","","","","","","","","","","","","AL MASAKEN INTERNATIONAL REAL ESTATE DEVELOPMENT. CO.","KW0EQ0402572","","A","70.0","6883591.050","70.0","","","","","","","","","","","70.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS2011T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8600","","1/27/2019","","","",""
"DALQAN","BUY-IN","Enquiry","","","","","","","","","50024992","2012","880","","1056.0","880.0","","","","0","1","","","350","","A","","","","","","","","","","","","","DALQAN REAL ESTATE CO.","KW0EQ0402580","","A","","","100.0","","","","","","","","","","","","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","AUCTION_MKT","True","","IS2012T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8600","","1/27/2019","","","",""
"ALEID","BUY-IN","Enquiry","","","","","","","","","100455653","2013","59.6","","71.5","59.6","","","","0","1","","","60.0","","A","","","","","","","","","","","","","AL EID FOOD CO.","KW0EQ0702591","","A","60.0","6027339.180","60.0","","","","","","","","","","","60.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS2013T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","5000","","1/27/2019","","","",""
"MIDAN","BUY-IN","Enquiry","","","","","","","","","250000000","2014","1313","","1575.0","1313.0","","","","0","1","","","1220","","A","","","","","","","","","","","","","AL-MAIDAN CLINIC FOR ORAL HEALTH SERVICES CO.","KW0EQ0602601","","A","1220","305000000.000","1220","","","","","","","","","","","1220","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS2014T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","4000","","1/27/2019","","","",""
"THURAYA","BUY-IN","Enquiry","","","","","","","","","146500000","2017","245","","294.0","245.0","","","","0","1","","","204","","A","","","","","","","","","","","","","DAR AL THURAYA REAL ESTATE CO.","KW0EQ0402689","","A","204","29886000.000","204","","","","","","","","","","","204","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS2017T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8600","","1/27/2019","","","",""
"AMAR","BUY-IN","Enquiry","","","","","","","","","195231520","2019","43.7","","52.4","43.7","","","","0","1","","","49.0","","A","","","","","","","","","","","","","AMAR FOR FINANCE AND LEASING CO.","KW0EQ0202717","","A","49.0","9566344.480","49.0","","","","","","","","","","","49.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS2019T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
